2026-06-25 08:52:02 DEBUG TestNG - suiteXmlPath: "C:\Users\bala karthikeyan\eclipse-workspace\open_cart_project\master.xml"
2026-06-25 08:52:03 INFO  Utils - [TestNG] Running:
  C:\Users\bala karthikeyan\eclipse-workspace\open_cart_project\master.xml

2026-06-25 08:52:07 INFO  TC001_AccountRegistration - Testcase_1 started
2026-06-25 08:52:08 INFO  TC001_AccountRegistration - clicked on myAccount
2026-06-25 08:52:09 INFO  TC001_AccountRegistration - clicked on register
2026-06-25 08:52:09 INFO  TC001_AccountRegistration - providing details
2026-06-25 08:52:09 INFO  TC001_AccountRegistration - firstname
2026-06-25 08:52:09 INFO  TC001_AccountRegistration - lastname
2026-06-25 08:52:09 INFO  TC001_AccountRegistration - Email
2026-06-25 08:52:10 INFO  TC001_AccountRegistration - password
2026-06-25 08:52:10 INFO  TC001_AccountRegistration - checkpolicy
2026-06-25 08:52:10 INFO  TC001_AccountRegistration - continue
2026-06-25 08:52:10 INFO  TC001_AccountRegistration - validating expected message
2026-06-25 08:52:12 INFO  TC001_AccountRegistration - message successfull
2026-06-25 08:52:12 INFO  TC001_AccountRegistration - Execution finished
